iter:258, x:27.037, y:-15.819, z:-24.601, phi:0.000, theta:-0.000, psi:2.808 
iter:259, x:27.193, y:-15.947, z:-24.762, phi:0.000, theta:-0.000, psi:2.829 
iter:260, x:27.310, y:-16.043, z:-24.882, phi:0.000, theta:-0.000, psi:2.844 
iter:261, x:27.446, y:-16.155, z:-25.024, phi:0.000, theta:-0.000, psi:2.863 
iter:262, x:27.562, y:-16.251, z:-25.145, phi:0.000, theta:-0.000, psi:2.878 
iter:263, x:27.717, y:-16.379, z:-25.306, phi:0.000, theta:-0.000, psi:2.899 
iter:264, x:27.834, y:-16.475, z:-25.428, phi:0.000, theta:-0.000, psi:2.915 
iter:265, x:27.969, y:-16.587, z:-25.570, phi:0.000, theta:-0.000, psi:2.934 
iter:266, x:28.085, y:-16.682, z:-25.692, phi:0.000, theta:-0.000, psi:2.950 
iter:267, x:28.221, y:-16.794, z:-25.834, phi:0.000, theta:-0.000, psi:2.968 
iter:268, x:28.337, y:-16.889, z:-25.956, phi:0.000, theta:-0.000, psi:2.984 
iter:269, x:28.491, y:-17.016, z:-26.120, phi:0.000, theta:-0.000, psi:3.005 
iter:270, x:28.627, y:-17.127, z:-26.263, phi:0.000, theta:-0.000, psi:3.024 
iter:271, x:28.742, y:-17.222, z:-26.385, phi:0.000, theta:-0.000, psi:3.040 
iter:272, x:28.877, y:-17.333, z:-26.529, phi:0.000, theta:-0.000, psi:3.058 
iter:273, x:28.993, y:-17.428, z:-26.652, phi:0.000, theta:-0.000, psi:3.074 
iter:274, x:29.147, y:-17.555, z:-26.816, phi:0.000, theta:-0.000, psi:3.095 
iter:275, x:29.243, y:-17.634, z:-26.918, phi:0.000, theta:-0.000, psi:3.108 
iter:276, x:29.397, y:-17.760, z:-27.083, phi:0.000, theta:-0.000, psi:3.129 
iter:277, x:29.493, y:-17.839, z:-27.185, phi:0.000, theta:-0.000, psi:-3.141 
iter:278, x:29.646, y:-17.965, z:-27.350, phi:0.000, theta:-0.000, psi:-3.121 
iter:279, x:29.780, y:-18.076, z:-27.493, phi:0.000, theta:-0.000, psi:-3.101 
iter:280, x:29.895, y:-18.170, z:-27.616, phi:0.000, theta:-0.000, psi:-3.088 
iter:281, x:30.048, y:-18.296, z:-27.780, phi:0.000, theta:-0.000, psi:-3.069 
iter:282, x:30.144, y:-18.375, z:-27.883, phi:0.000, theta:-0.000, psi:-3.057 
iter:283, x:30.297, y:-18.500, z:-28.047, phi:0.000, theta:-0.000, psi:-3.038 
iter:284, x:30.392, y:-18.579, z:-28.149, phi:0.000, theta:-0.000, psi:-3.024 
iter:285, x:30.545, y:-18.704, z:-28.312, phi:0.000, theta:-0.000, psi:-3.009 
iter:286, x:30.659, y:-18.798, z:-28.434, phi:0.000, theta:-0.000, psi:-2.996 
iter:287, x:30.811, y:-18.924, z:-28.596, phi:0.000, theta:-0.000, psi:-2.979 
iter:288, x:30.906, y:-19.002, z:-28.697, phi:0.000, theta:-0.000, psi:-2.968 
iter:289, x:31.058, y:-19.127, z:-28.859, phi:0.000, theta:-0.000, psi:-2.954 
iter:290, x:31.172, y:-19.221, z:-28.979, phi:0.000, theta:-0.000, psi:-2.944 
iter:291, x:31.286, y:-19.315, z:-29.100, phi:0.000, theta:-0.000, psi:-2.933 
iter:292, x:31.437, y:-19.440, z:-29.260, phi:0.000, theta:-0.000, psi:-2.920 
